Iteration      Max Err W0     Max Err W1     Max Err b0     Max Err b1     L2 Err W0      L2 Err W1      L2 Err b0      L2 Err b1      
0              0.0103323      3.08935        23698.1        1              0.0271507      6.58269        43977.3        1              
1              0.0257453      6.18846        26488.8        1              0.048941       13.1293        51727.5        1              
2              0.0242646      9.1757         29592.5        1              0.0659767      19.5818        54989.4        1              
3              0.0284782      12.041         37012.2        1              0.0827984      25.8274        60589.6        1              
4              0.0327671      14.8085        37963.4        1              0.101623       31.8257        61037.6        1              
5              0.0405954      17.3718        39216.6        1              0.119567       37.5291        65000.8        1              
6              0.0469294      19.6771        42119.6        1              0.13842        42.6918        69223.2        1              
7              0.0525304      21.924         43583.7        1              0.153034       47.4929        72727.7        1              
8              0.0573903      23.8795        49663.8        1              0.168914       51.6871        77517.4        1              
9              0.059843       25.7764        54036.1        1              0.186349       55.5846        81640.7        1              
10             0.0627984      27.582         50255.5        1              0.200369       59.0337        83667.9        1              
11             0.0671734      29.0518        55504          1              0.214874       61.9341        87371.1        1              
12             0.0717157      30.2347        55084.5        1              0.231716       64.3474        94503.8        1              
13             0.0748188      31.6565        59031.8        1              0.245126       66.6858        95248.6        1              
14             0.0774661      32.7352        58024.8        1              0.258664       68.6085        101434         1              
15             0.0815386      33.8764        65421.3        1              0.272525       70.4045        101913         1              
16             0.0849725      34.6827        65115.5        1              0.285293       72.1228        106835         1              
17             0.0878328      35.2782        59003.5        1              0.297072       73.4639        107396         1              
18             0.0918307      35.7808        59272.8        1              0.309004       74.6936        108097         1              
19             0.0944725      36.2203        63112          1              0.319839       75.6019        112286         1              
20             0.0961808      36.4643        65164.5        1              0.329937       76.3397        115819         1              
21             0.100288       36.8389        68178.7        1              0.341786       77.2137        116906         1              
22             0.105252       37.0754        75331.9        1              0.352001       77.7824        121508         1              
23             0.108164       37.2768        76506.5        1              0.364112       78.3212        122644         1              
24             0.109408       37.5555        81216          1              0.374268       78.877         126739         1              
25             0.112729       37.9611        79740.7        1              0.38715        79.6452        126667         1              
26             0.114416       38.0562        83740.4        1              0.396504       80.0102        129458         1              
27             0.116587       38.3355        85695.1        1              0.403341       80.598         130834         1              
28             0.119292       38.563         81817.4        1              0.412945       81.079         132147         1              
29             0.123992       38.6902        76005.3        1              0.421243       81.419         131418         1              
30             0.126103       38.9284        83532.8        1              0.429628       81.8804        135679         1              
31             0.127337       38.957         88585.5        1              0.436831       82.0527        137347         1              
32             0.130233       39.0314        93647.1        1              0.44561        82.2551        137117         1              
33             0.132522       39.0741        93405.3        1              0.452498       82.6142        140354         1              
34             0.134527       39.1248        87413.2        1              0.461458       82.9242        139458         1              
35             0.135549       39.2351        89486.3        1              0.468661       83.2178        142549         1              
36             0.138202       39.3035        91918.5        1              0.476004       83.4821        141461         1              
37             0.140193       39.4959        98271.5        1              0.484849       83.9199        142192         1              
38             0.142091       39.6653        92450.9        1              0.492586       84.2207        142072         1              
39             0.144107       39.7537        91878.9        1              0.50037        84.4146        141988         1              
40             0.146006       39.9679        97224.4        1              0.506974       84.8071        141777         1              
41             0.148929       39.9833        96744.3        1              0.512483       85.0528        143622         1              
42             0.150809       40.1214        104674         1              0.518022       85.2447        150626         1              
43             0.152305       40.2899        104762         1              0.523875       85.5473        148562         1              
44             0.154272       40.3912        106481         1              0.53           85.8487        147840         1              
45             0.155903       40.5438        97485.4        1              0.535117       86.1436        147605         1              
46             0.157988       40.7853        103338         1              0.538466       86.4572        152607         1              
47             0.160307       41.0068        104580         1              0.54484        86.8207        150249         1              
48             0.161474       40.9593        105103         1              0.548214       87.0559        150270         1              
49             0.162618       41.1168        108607         1              0.552515       87.4           153513         1              
50             0.166328       41.2594        103032         1              0.558447       87.6629        155896         1              
51             0.169801       41.3967        107623         1              0.564296       87.9878        153460         1              
52             0.170392       41.4785        109523         1              0.568701       88.2159        154181         1              
53             0.173193       41.6287        107846         1              0.572636       88.5509        155923         1              
54             0.176351       41.8208        116911         1              0.575711       88.8257        162329         1              
55             0.175928       42.0089        110184         1              0.580546       89.0809        154979         1              
56             0.178223       42.2389        105573         1              0.581516       89.402         158721         1              
57             0.181566       42.3641        101815         1              0.585036       89.6971        159161         1              
58             0.181627       42.5598        99014.3        1              0.5868         89.9761        161921         1              
59             0.183722       42.6588        101881         1              0.589775       90.3315        163113         1              
60             0.185367       42.8631        106401         1              0.593842       90.6168        160302         1              
61             0.188621       43.0459        107046         1              0.597265       90.9368        161299         1              
62             0.188523       43.2433        100042         1              0.59939        91.2771        160886         1              
63             0.192505       43.4141        102956         1              0.603576       91.5821        159227         1              
64             0.194687       43.68          103635         1              0.606226       91.9051        161308         1              
65             0.199679       43.8265        103715         1              0.608288       92.2223        163342         1              
66             0.200731       43.9472        104485         1              0.609241       92.6285        164471         1              
67             0.201964       44.1741        105890         1              0.613101       92.9041        162179         1              
